,여의도한강공원리뷰
110,"Yeouido Hangang park is a perfect location for picnic , walk or a cycle ride. this is the perfect location where you can see the Hangang rever and the bridge view that's usually seen on K dramas. Over the weekends they have the Night market here with lots if food and they even rent out the picnic items like mats, tables, lights. You can see a lot of people busking here. Best views are in the night with the river and city view.  Translated with Papago: 여의도 한강공원은 소풍이나 산책, 자전거 타기에 완벽한 장소입니다. 이곳은 K 드라마에서 흔히 볼 수 있는 한강의 모습과 다리의 모습을 볼 수 있는 완벽한 장소입니다. 주말에 그들은 많은 음식이 있는 야시장을 열고 심지어 매트, 테이블, 전등과 같은 피크닉 용품을 빌립니다. 여러분은 이곳에서 많은 사람들이 버스킹을 하는 것을 볼 수 있습니다. 가장 좋은 전망은 강과 도시의 전망이 있는 밤입니다.화장실There are 2 restrooms available.  But always crowded.반려견 동반 환경Definitely dog friendly park피크닉 구역Perfect spot for picnic with food and other picnic items being rented out at the park"
111,산책하기 좋은 곳
112,노을과 시원한 물놀이 하기 최고의 공원 입니다
113,5호선 여의나루 역으로 나오시면 가깝습니다. 여름에는 물빛 광장에 물이 항상 흐르고 있어서 좋아요. 여름에 5시쯤 되면 푸드 트럭이 많이 옵니다. 마포 대교 아래에 앉을 곳이 많아요. 강을 바라보는 곳도 계단으로 되어 있어서 앉아서 쉬기 좋습니다. 쓰레기를 제대로 쓰레기통에 버리시면 좋을 것 같아요. 수상 스포츠를 즐기시는 분들이 꽤 많이 있습니다. 요트같이 조용한 것은 상관 없지만 제트스키 같은 것은 사람들이 쉬는데 근처에서 놀지 않으면 좋겠어요. 다리에 물을 뿌리거나 서로 물을 뿌리면서 장난치고 노시는데 사람들 앉아있는 쪽으로 안하려고 하는 것 같기는 하지만 그래도 물방울 튑니다. 그리고 너무 시끄러워요. 사람들이 안 앉아서 쉬는 반대쪽으로 가서 놀면 좋겠어요. 예전보다 한강에서 수상 스포츠 즐기는 사람들이 많은데 카약이나 요트 같은 스포츠는 상관 없지만 제트 스키 같은 것은 규제를 해주면 좋겠습니다.
114,"주말에 다녀왔는데 닭꼬치, 타코야키, 탕후루 등 장 서있는 것도 많고 역 바로 앞이라 편하고 어딜 가도 한강 라면 살 수 있는 게 너무 좋아요. 근데 여의도는 다른 공원보다 유난히 쌀쌀한 거 같아요.  쓰레기장, 화장실도 어디든 있어서 편합니다."
115,책읽는 한강공원 너무 괜찮네요.
116,강남 놀러갔다가 오는 길에 9시쯤 한번 들려봤다. (여의나루역에서 나오면 바로 앞에 있어서 좋다.) 뒤에는 파크원과 IFC가 보이고 오른쪽엔 원효대교와 63빌딩이 보이고 왼쪽엔 마포대교가 가까히 위치해 있다. 밤에는 근데 63빌딩이나 파크원 빌딩이 잘 안보여서 낮에 가는게 더 좋다고 생각한다. (반대편엔 남산타워도 희미하게 보인다...)
117,매일 걷는 곳입니다. 사계절 서울시민들이 이용하는 휴식공간입니다. 한강을 끼고있어 경관이 좋아 남녀노소가 즐기는 명소입니다.
118,"날씨 좋은 날, 바람 좋은 날, 기분 좋은 날, 친구와 이야기하고 싶은 날, 야외에서 데이트 하고 싶은 날 등등 Feel 오면 무조건 가기 좋은 우리의 좋은 친구 한강 ㅋㅋ 말이 필요 없지요. 배달음식을 먹든, to-go 해서 먹든, 편의점에서 라면을 끓여 먹든 뭐든 다 꿀맛으로 느껴집니다."
119,멋진 한강 풍경과 시원한 자전거 데이트 서울 여의도 한강 시민 공원 휴식과 데이트 하기 좋은 곳 입니다. 강을 바라보며 여러 음식을 먹을수 있으며 주말밤에는 길거리 음식 푸드 트럭 등 다양한 이벤트가 있습니다. 사진도 찍기 좋고 정말로 휴식하며 힐링을 할 수 있는 곳입니다.
120,집에서 1시간20분 걸리는 거리라 일때문이 아니면 갈일이 없네요. 젊은시절 추억이 있고 더 좋아진 ..젊은이들 가족들로 여유있어 보이는 한강공원 다양한 편의시설과 조형물들
121,서울 스프링 워크 참여차 방문 주차장도 잘되어있고 역에서 접근성도매우좋음
122,"겨울이라 다소 춥기도 하지만 기온이 평소보다 살짝 높은 날이라, 밤이 되고 강가 아닌 산책로 따라 걷다보니 포근 했었어요. 야경도 멋지고 좋았답니다."
123,"피크닉 대여해주는곳이 지하철역 앞이라 텐트 돗자리 이런거 대여하기 편해요. 화장실, 편의점도 공원 곳곳에 있어서 피크닉하기 딱이구요. 음식은 배달하거나 더현대서울 푸드코트에서 포장해와서 먹으면 딱이에요."
124,넓은 잔디밭에서 그늘막텐트와 야외용 의자와 배달 존에서 배달음식을 시켜먹을 수 있는 멋진 야외공원입니다.  야간 도깨비 먹거리 시장과 이벤트 가즉한 한강공원은 우리한국 특유의 문화가 있늣 멋진 곳입니다
125,날씨좋은 날은 역시 사람이 많죠 그래도 좋은 추억 안고 갑니다. 편의점에 줄서야한다는게 가장 큰 흠 음료는 밖에서 사가세요
126,가끔씩 여의도한강공원에서는 행사가 열린다. 매년마다 한화에서 행사를 하는데 잔디밭에서 영화도 보고 더위를 잊을 수 있었다. 돗자리는 빌릴 수 있었고 시원한 강바람을 맞으며 즐거운 주말을 보낼 수 있었다. 주차는 한강공원 주차장을 이용하면 되고 근처 화장실도 깔끔하게 관리되고 있고 편의점이 있어서 간식거리도 살 수 있었다.
127,"이번년도가 서울에 사는 마지막 해가 될것같은데 여의도 한강공원에 저번주 토요일에도 와서 친구들과 좋은시간 보내고, 이번 토요일에도 친구들과 와서 서울시향 야외공연도 봤어요. 좋은추억으로 기억될것같습니다 ! 서울시향 앵콜곡 하면서 불꽃도 터져서 🎆  친구들이 참 좋아했어요 ㅎㅎ…"
128,아직은 벚꽃이 피지 않고 찬바람 만 불고 그래도 주말이 아닌데도 시민들이 많이 거닐고 있었습니다
129,"라이딩도 할수 있고 돗자리, 텐트도 칠수 있고 근처 편의점, 노상에서 간식도 먹을수 있어요~^^ 텐트 대여는 서울 *파트 좀더 내려가서 아랫 상가 안쪽에 위치한 ♧피크닉 109♧ 물품 깨끗해서 추천해요."
130,불꽃축제 보러 방문했어요 사람이 아주 많았지만 역 바로 앞이라 접근성이 좋았고 간이화장실도 많이 설치되어있어서 편리했어요!
131,겨울로 들어가는 길목 내년 봄이 되면 화사하겠지
132,"여유롭고 좋습니다. 답답했던 속이 탁 불리는 기분이라 가끔 갑니다.  금,토 에는 야시장을 열기 때문에 더 좋아요. 특히 요즘 대학교 방학이라 그런가 사람들이 많지 않아서 적당히 기다리고 먹고 즐기기 좋았습니다.  다만 지하철 입구부터 전단지 알바나 호객들이 많은게...  시설들이 전반적으로 잘되어 있어 좋았습니다."
133,화창한 봄날에 한강이 넘 맑고 푸르고 돗자리 깔고 봄을 만끽하며 도란도란 아름다운곳 이더라고요
134,"한국의 센트럴파크? 러브미 마라톤 대회 참석차 방문. 따사로운 햇살, 시원한 바람, 여유로이 거니는 행락객들...지극히 평화로운 가을 풍경이었음. 청소년, 애인, 가족 등등 다양한 계층의 사람들이 가을 햇살을 만끽하고 있었음. 텐트를 치고 쉬는 사람, 자전거나 롤러 스케이트를 타는 사람 등등 삶의 여유를 즐길 수 있는 장소인 듯함. 주변에 편의점이나 카페가 있고, 배달음식 주문도 가능해 편의성은 최고임. 거기에다 여의나루역 근처에 텐트, 휴대의자, 돗자리 등을 일괄 대여해주는 대여점이 있어 가볍게 몸만 와서 이 모든 것을 만끽할 수 있음."
135,날씨도 선선하고 비록 라면 끓인건 불어서 맛없었지만 분위기에 먹엇당.. 버스킹하는거 구경하고 한강 물살이 정말 예뻤음
136,"아시아 국가 베트남.카자흐스탄 체험부스가 열린기간에 방문했어요. 안내부스에서 안내지 받아서 스템프 투어 참여하니 마그네틱증정 QR찍고 설문조사하니 담요 증정있었어요  여의나루역 2번출구 올라가자마자 자리잡은 화려한 노점상들.돗자리 대여점들은 좀 난잡했지만,이미 여의도의 일부가 되어버렸지만요.. 전단지는 바닥에 뒹굴고. 지저분했어요.  베트남,카자흐스탄 역사와 전통의상체험.무료 케리커쳐 .음식시식등..다양한 행사가 좋았어요. 베트남 모자 농 꾸미기를 아이들이 좋아했습니다.화장실지저분한 화장실반려견 동반 환경목줄한 강아지들 각자기 짖으면 놀란가슴"
137,돗자리 대여(돗자리 물티슈 작은상)가 잘 되어있고 편의점이 너무 붐비지않음. 푸드트럭이 꽤 있으나 종류는 비슷비슷함 공중화장실이 있는데 생각보다 깨끗하게 관리되어있고 휴지도 있음
138,"사람이 매우 많고, 데이트 및 취미를 즐기기 좋다. 하지만 코로나 때문에 사회적 거리두기를 하고 있는 요즘 가서 일  터지는 것 보다 집에서 쉬는게 나을 수도 있다."
139,돗자리 호객행위와 전단지 강제 받음이 심하다. 비둘기가 사람 주변을 돌아다닌다. 갈매기도 비둘기처럼 많다. 갈매기가 조형물처럼 기둥 위에  앉아있다. 귀엽다. 커플들 많다. 돗자리는 옵션에 따라 2000~5000. 텐트 10000원선이다.
140,다양한 모습을 품고 있어서 갈 때마다 만족합니다. 깨끗하게 관리되고 있는 장소입니다.
141,처음에 갔을땐 타코야끼랑 목살트럭보고 이게 밤도깨비 다냐고 실망할뻔했는데 쭈욱 걸어보니까 밤도깨비야시장 간판과함께 푸드트럭이 엄청나오더라구요. 아근데 입구에있던 매운타코야끼는  진짜 너무 맛있고 매워서 잊혀지지 않음 ㅠㅠ 닭꼬치도 맛나구 ㅠㅠ 푸드트럭 종류가 많아서 고민 너무 많이되었는데 소고기초밥이랑 대창덮밥먹었는데 넘나 맛났어요! 대창덮밥은 고소달달감칠맛나구 소고기초밥은 와사비도 적당하고 맛났어요! 좀 빨리식는게 단점이지만 ㅠㅠ
142,불꽃축제보고왔어요 나무때문에 시야가 가려 별하나뺍니다 원효대교에서 보는게 짱일듯 근데 원효대교 일반인 못가게 했는데 관계자들 일은 안하시구 불꽃구경하시네요 일반인들도 원효대교에서 볼수있게 해주세요
143,아무 준비도 안하고 있다가 근처에 가서 어 한강가서 놀까? 했을 때 모든 걸 대여할 수 있는 곳. 그만큼 사람도 많아요
144,장애인 복지관 에서 63빌딩 아쿠아리움 구경 하고 여의도 한강공원 구경을 갔어요 추워서 그런지 사람 이 없고 깨끗하고 한강물이 흐르는 것을 보니까 기분이 상쾌하고 좋았어요반려견 동반 환경제 생각에는 이렇게 깨끗하고 보기좋은 한강 유원지에 반려동물을 좋아 하지만 여러사람 이 이용하는 장소에서는 개 유모차 에 태워서 대리고 나온다면 사람들에게 불편을 주지않아 좋을듯 합니다 감사합니다
145,좋은곳 코로나가 빨리끝나 마스크없이 즐길수있는 날이오길 단점 주차가... 안됨 근처 더현대에 주차가 가능하지만 멀고 10분에 2천원이라는...  5만원 구매해야 1시간무료 10만원 2시간 이런식임..
146,바람이 날리는 날씨였지만 날씨가 좋았네요. 여의나루역쪽에서 한강에서 나가면 있는 구역이 돗자리 펴기 가장 좋습니다.
147,주말에 방문했는데 사람이 사람이..ㅎㄷㄷ 야시장음식도 사람이 많아서 20분이상씩 기다려야 살수있어요 사람에 치이는것만 빼면 시원한 강바람 맞으면서 치맥한잔에 버스킹듣고 여유롭게 쉬다와서 딱좋았습니다
148,"날씨 좋을 때 산책, 나들이 하기 정말 좋은 곳입니다. 공원 근처에 텐트 ⛺️ 설치 가능한 지역이 몇군데 있는데, 근처에서 텐트를 대여도 가능합니다 ^^ 여름에 토, 일요일에는 6시부터 밤도깨비 야시장도 함께하는데 분위기도 너무 좋고 음식맛도 정말 맛있습니다 ^^"
149,비가오고 나니 한층 단풍이 들어 이뻤어요. 한강 바로 앞 커다란 나무이래로 그물망을 설치해 누워서 하늘을 볼 수 있게 한 구조물 참 좋았구요 국화 화분도 놓아 이뻤어요. 한강 환경보전 캠페인도 하던데 한강 가시면 쓰레기는 꼭 쓰레기통에 버리세요.^^
150,"날씨 선선하면 쉬기 참 좋아요 아이들도 뛰어 다니고 배달음식도 풍부하고 매점, 화장실 갖춰져있고 하루종일 차세워도 주차비는 최대 15,000원 정도 나옴."
151,많은 직장인들의 쉼터이자 늘 운동할 수 있는곳.. 10분안에 갈 수 있는 숲이 있어 좋다
152,"바람불지 않고 따뜻한 날에 야경보면서 걷기 좋은 곳이고요, 전 겨울에 가봤지만 봄~가을에는 배달존도 있는 걸 보니, 많이들 와서 피크닉할거 같아요~^^"
153,되게 이뻐요 버스킹도 하고. 전에 가본긴 했는데 저녁에 가서 잘 안 보여서 아쉬웠지만 걍 이건 제가 늦게 간거고 💖💖넘넘 좋았어요…
154,마스크벗고 댕댕이랑 남편이랑 봄소풍 길거리음식도 맛나고 코로나이후 첨인듯 일상으로~~♡♡♡
155,여의도 한강공원 그늘막텐트 설치 구역- 여의나루역 3번 출구와 가장 가까움.텐트 대여 1일  1만원 (신분증 지참)돗자리 대여- 2천원 -3천원.그늘막 텐트 설치 구역외 설치시- 과태료 1백만원.설치시간: 4월-10월 (AM 9시-PM7시).텐트 규격-2M×2M (2면 이상 개방)/승용차 이용시 여의도 2 주차장이 가장 가까움.여의도 1 주차장은  한 참 걸림.
156,돗자리나 텐트치기 딱 좋은 곳.....하지만 밤도깨비 야시장을 이용은 1시간에 하나 살 수 있어서 음식은 따로 사오는게 나을 것 같다.. 맛도 특출나지 않고 그냥 분위기에 먹는 맛!
157,"주말이면 정말 많은 사람들이 몰린다. 장사하는 사람도 엄청나게 많다. 먹거리장터도 열려서 맛있는 푸드트럭 메뉴도 엄청나게 많다. 음식 냄새가 나는 곳도 있지만, 대체로 관리를 많이해서 깔끔하다~  지전거는 1시간에 3,000원 돗자리는 2천원에 렌트가 가능하다. 라면은 3,000원이다.  길거리에서 사 먹기엔 가격이 저렴하진 않다. 왠만한 식당 수준으로 비용이 들고, 카드 거래가 안된다. (only cash)  7시 이전까지는 그늘막을 쳐 놓고 쉴 수 있다.  종종 음악공연도 많이하고 해서 주말에는 언제든지 편하게 가볼 만하다고 생각한다."
